,Compound,Date,Media Outlet,Negative,Neutral,Positive,Tweets Ago
73,0.0,Fri Aug 10 19:59:14 +0000 2018,@CBS,1.0,0.0,0.0,74
74,0.6696,Thu Aug 09 21:00:00 +0000 2018,@CBS,0.745,0.0,0.255,75
75,0.7901,Thu Aug 09 18:47:00 +0000 2018,@CBS,0.72,0.0,0.28,76
76,0.6696,Wed Aug 08 16:05:11 +0000 2018,@CBS,0.791,0.0,0.209,77
77,0.0,Tue Aug 07 16:06:57 +0000 2018,@CBS,1.0,0.0,0.0,78
78,0.3612,Mon Aug 06 00:20:55 +0000 2018,@CBS,0.889,0.0,0.111,79
79,0.5411,Mon Aug 06 00:07:38 +0000 2018,@CBS,0.683,0.098,0.219,80
80,0.0,Mon Aug 27 23:36:57 +0000 2018,@CBS,1.0,0.0,0.0,81
81,-0.4389,Fri Aug 24 20:30:16 +0000 2018,@CBS,0.879,0.121,0.0,82
82,0.0,Wed Aug 22 20:55:25 +0000 2018,@CBS,1.0,0.0,0.0,83
83,0.0,Wed Aug 22 20:10:12 +0000 2018,@CBS,1.0,0.0,0.0,84
84,0.5423,Mon Aug 20 21:59:56 +0000 2018,@CBS,0.829,0.0,0.171,85
85,0.3182,Fri Aug 17 17:42:02 +0000 2018,@CBS,0.887,0.0,0.113,86
86,0.0,Thu Aug 16 18:40:09 +0000 2018,@CBS,1.0,0.0,0.0,87
87,-0.5267,Thu Aug 16 00:09:03 +0000 2018,@CBS,0.72,0.188,0.092,88
88,0.0,Sun Aug 12 23:30:02 +0000 2018,@CBS,1.0,0.0,0.0,89
89,0.4389,Sun Aug 12 15:04:59 +0000 2018,@CBS,0.874,0.0,0.126,90
90,-0.3182,Sat Aug 11 18:00:00 +0000 2018,@CBS,0.897,0.103,0.0,91
91,0.4926,Sat Aug 11 15:00:02 +0000 2018,@CBS,0.856,0.0,0.144,92
92,0.8957,Fri Aug 10 22:28:55 +0000 2018,@CBS,0.581,0.0,0.419,93
93,0.0,Fri Aug 10 19:59:14 +0000 2018,@CBS,1.0,0.0,0.0,94
94,0.6696,Thu Aug 09 21:00:00 +0000 2018,@CBS,0.745,0.0,0.255,95
95,0.7901,Thu Aug 09 18:47:00 +0000 2018,@CBS,0.72,0.0,0.28,96
96,0.6696,Wed Aug 08 16:05:11 +0000 2018,@CBS,0.791,0.0,0.209,97
97,0.0,Tue Aug 07 16:06:57 +0000 2018,@CBS,1.0,0.0,0.0,98
98,0.3612,Mon Aug 06 00:20:55 +0000 2018,@CBS,0.889,0.0,0.111,99
99,0.5411,Mon Aug 06 00:07:38 +0000 2018,@CBS,0.683,0.098,0.219,100
0,0.7906,Wed Aug 29 06:16:00 +0000 2018,@CNN,0.72,0.0,0.28,1
1,-0.8709,Wed Aug 29 06:01:02 +0000 2018,@CNN,0.575,0.425,0.0,2
2,0.0,Wed Aug 29 05:46:00 +0000 2018,@CNN,1.0,0.0,0.0,3
3,-0.7003,Wed Aug 29 05:31:12 +0000 2018,@CNN,0.756,0.244,0.0,4
4,0.4939,Wed Aug 29 05:31:08 +0000 2018,@CNN,0.849,0.0,0.151,5
5,-0.7184,Wed Aug 29 05:16:00 +0000 2018,@CNN,0.727,0.273,0.0,6
6,0.0,Wed Aug 29 05:04:36 +0000 2018,@CNN,1.0,0.0,0.0,7
7,-0.5563,Wed Aug 29 05:01:05 +0000 2018,@CNN,0.841,0.159,0.0,8
8,0.0,Wed Aug 29 04:46:00 +0000 2018,@CNN,1.0,0.0,0.0,9
9,0.4215,Wed Aug 29 04:31:01 +0000 2018,@CNN,0.865,0.0,0.135,10
10,0.1027,Wed Aug 29 04:18:20 +0000 2018,@CNN,0.619,0.155,0.227,11
11,0.0,Wed Aug 29 04:16:00 +0000 2018,@CNN,1.0,0.0,0.0,12
12,0.6486,Wed Aug 29 04:02:08 +0000 2018,@CNN,0.741,0.0,0.259,13
13,0.5251,Wed Aug 29 03:57:01 +0000 2018,@CNN,0.855,0.0,0.145,14
14,0.5719,Wed Aug 29 03:56:12 +0000 2018,@CNN,0.791,0.0,0.209,15
15,0.1531,Wed Aug 29 03:55:09 +0000 2018,@CNN,0.685,0.165,0.149,16
16,0.34,Wed Aug 29 03:46:48 +0000 2018,@CNN,0.727,0.105,0.168,17
17,-0.3182,Wed Aug 29 03:46:04 +0000 2018,@CNN,0.901,0.099,0.0,18
18,0.128,Wed Aug 29 03:42:19 +0000 2018,@CNN,0.93,0.0,0.07,19
19,0.0,Wed Aug 29 03:31:05 +0000 2018,@CNN,1.0,0.0,0.0,20
20,0.7906,Wed Aug 29 06:16:00 +0000 2018,@CNN,0.72,0.0,0.28,21
21,-0.8709,Wed Aug 29 06:01:02 +0000 2018,@CNN,0.575,0.425,0.0,22
22,0.0,Wed Aug 29 05:46:00 +0000 2018,@CNN,1.0,0.0,0.0,23
23,-0.7003,Wed Aug 29 05:31:12 +0000 2018,@CNN,0.756,0.244,0.0,24
24,0.4939,Wed Aug 29 05:31:08 +0000 2018,@CNN,0.849,0.0,0.151,25
25,-0.7184,Wed Aug 29 05:16:00 +0000 2018,@CNN,0.727,0.273,0.0,26
26,0.0,Wed Aug 29 05:04:36 +0000 2018,@CNN,1.0,0.0,0.0,27
27,-0.5563,Wed Aug 29 05:01:05 +0000 2018,@CNN,0.841,0.159,0.0,28
28,0.0,Wed Aug 29 04:46:00 +0000 2018,@CNN,1.0,0.0,0.0,29
29,0.4215,Wed Aug 29 04:31:01 +0000 2018,@CNN,0.865,0.0,0.135,30
30,0.1027,Wed Aug 29 04:18:20 +0000 2018,@CNN,0.619,0.155,0.227,31
31,0.0,Wed Aug 29 04:16:00 +0000 2018,@CNN,1.0,0.0,0.0,32
32,0.6486,Wed Aug 29 04:02:08 +0000 2018,@CNN,0.741,0.0,0.259,33
33,0.5251,Wed Aug 29 03:57:01 +0000 2018,@CNN,0.855,0.0,0.145,34
34,0.5719,Wed Aug 29 03:56:12 +0000 2018,@CNN,0.791,0.0,0.209,35
35,0.1531,Wed Aug 29 03:55:09 +0000 2018,@CNN,0.685,0.165,0.149,36
36,0.34,Wed Aug 29 03:46:48 +0000 2018,@CNN,0.727,0.105,0.168,37
37,-0.3182,Wed Aug 29 03:46:04 +0000 2018,@CNN,0.901,0.099,0.0,38
38,0.128,Wed Aug 29 03:42:19 +0000 2018,@CNN,0.93,0.0,0.07,39
39,0.0,Wed Aug 29 03:31:05 +0000 2018,@CNN,1.0,0.0,0.0,40
40,0.7906,Wed Aug 29 06:16:00 +0000 2018,@CNN,0.72,0.0,0.28,41
41,-0.8709,Wed Aug 29 06:01:02 +0000 2018,@CNN,0.575,0.425,0.0,42
